0,people,gun,government,law,guns
1,dod,bike,ride,back,time
2,people,israel,jews,war,israeli
3,people,point,things,TRUE,doesn
4,university,mail,information,fax,research
5,netcom,sternlight,david,key,phone
6,car,cars,good,engine,price
7,people,money,pay,government,time
8,god,jesus,christ,people,bible
9,key,public,system,government,information
10,fire,time,people,day,uiuc
11,mail,university,internet,email,windows
12,power,good,work,time,high
13,card,drive,system,windows,software
14,game,team,year,games,time
15,university,mail,wrote,fax,uni
16,people,read,rutgers,god,christian
17,medical,people,time,years,good
18,program,file,window,code,windows
19,space,nasa,gov,earth,orbit
